city,lat,temp,cloud,wind speed,humidity,country
rikitea,-23.1203,24.01,25,4.2,79,PF
chokurdakh,70.6333,18.09,90,6.06,39,RU
grindavik,63.8424,11.0,75,5.66,76,IS
mehamn,71.0357,9.95,64,3.78,65,NO
new norfolk,-42.7826,7.6,100,1.0,83,AU
qaqortoq,60.7167,14.28,99,2.63,79,GL
red bluff,40.1785,18.27,1,0.0,56,US
bridlington,54.0831,20.27,100,2.87,90,GB
tuktoyaktuk,69.4541,6.65,81,4.68,84,CA
jamestown,42.097,16.26,1,6.17,72,US
matamoros,25.5333,24.5,16,1.87,59,MX
thompson,55.7435,7.09,75,2.57,76,CA
kisangani,0.5167,32.73,73,0.41,41,CD
dunedin,-45.8742,9.38,92,3.31,76,NZ
vaini,-21.2,19.09,75,3.09,94,TO
garissa,-0.4536,32.97,14,8.2,30,KE
isabela,6.7085,27.03,92,1.48,86,PH
husavik,66.0449,15.95,60,2.07,47,IS
bredasdorp,-34.5322,16.62,82,1.54,42,ZA
hilo,19.7297,21.22,90,3.09,88,US
busselton,-33.65,8.13,85,1.52,93,AU
port alfred,-33.5906,15.82,100,3.85,78,ZA
yellowknife,62.456,8.39,20,1.54,76,CA
kodinsk,58.6881,17.59,99,2.63,81,RU
san quintin,30.4833,17.12,50,4.44,93,MX
alihe,50.5667,21.05,68,1.43,74,CN
kandi,11.1342,34.14,99,2.21,40,BJ
lompoc,34.6391,13.93,90,1.54,77,US
kapaa,22.0752,22.14,40,0.45,77,US
berlevag,70.8578,11.47,0,9.26,76,NO
oistins,13.0667,29.05,40,6.69,61,BB
galle,6.0367,27.35,25,5.97,80,LK
ust-nera,64.5667,16.04,73,2.79,52,RU
ilulissat,69.2167,5.01,75,4.63,81,GL
hobart,-42.8794,7.83,0,2.57,87,AU
pevek,69.7008,3.44,51,5.23,80,RU
cabra,37.4725,31.67,4,0.89,27,ES
castro,-24.7911,12.36,81,2.14,84,BR
tiksi,71.6872,0.94,86,2.83,88,RU
faanui,-16.4833,26.88,8,7.61,71,PF
cape town,-33.9258,16.4,0,3.09,48,ZA
hithadhoo,-0.6,28.03,24,4.35,72,MV
kavieng,-2.5744,27.59,100,2.3,76,PG
sao filipe,14.8961,24.25,11,6.54,72,CV
geraldton,-28.7667,8.23,0,3.6,93,AU
mataura,-46.1927,11.38,99,3.18,74,NZ
hambantota,6.1241,29.3,25,9.45,67,LK
siddipet,18.1,27.05,95,5.43,58,IN
ponta do sol,32.6667,23.25,9,0.52,56,PT
kansanshi,-12.0951,25.43,51,2.17,29,ZM
nikolskoye,59.7035,24.37,82,3.21,54,RU
caravelas,-17.7125,21.74,69,3.54,82,BR
aberdeen,57.1437,23.27,75,2.06,49,GB
sola,-13.8833,26.33,76,12.35,73,VU
ribeira grande,38.5167,21.22,75,5.14,94,PT
turukhansk,65.8167,21.31,99,4.0,55,RU
port hardy,50.6996,10.1,75,1.03,93,CA
the pas,53.8251,13.01,1,4.63,71,CA
puerto ayora,-0.7393,22.15,96,3.95,87,EC
albany,42.6001,14.08,6,1.91,78,US
cherskiy,68.75,10.95,3,3.07,59,RU
hermanus,-34.4187,17.22,69,0.92,57,ZA
westport,41.1415,18.03,1,0.45,76,US
mocuba,-16.8392,28.59,0,1.15,40,MZ
ushuaia,-54.8,4.81,75,6.17,75,AR
cayenne,4.9333,28.02,0,1.03,78,GF
kirakira,-10.4544,26.06,87,5.03,86,SB
khandyga,62.6667,19.77,14,1.45,56,RU
sorong,-0.8833,26.74,93,2.3,79,ID
fort wellington,6.4,26.45,52,3.18,80,GY
bluff,-46.6,11.56,100,6.54,79,NZ
punta arenas,-53.15,3.94,75,8.23,87,CL
